# ffmpeg 2-pass log file, using xvid codec
# Do not modify. libxvidcore version: 1.2.1

b 3 0 1056 0 540 535
p 2 0 691 365 2297 1083
b 3 0 1056 0 677 663
b 3 0 1056 0 601 592
p 2 0 817 239 2493 1159
b 3 0 1056 0 547 539
b 3 0 1056 0 639 636
p 2 0 764 292 2153 1118
b 3 0 1056 0 560 557
b 3 0 1056 0 572 570
p 2 0 840 216 2531 1139
b 3 0 1056 0 855 822
b 3 0 1056 0 730 722
p 2 0 851 205 2355 1164
b 3 0 1056 0 905 844
b 3 0 1056 0 449 447
p 2 0 845 211 2665 1167
b 3 0 1056 0 529 523
b 3 0 1056 0 518 513
p 2 0 714 342 2055 1074
b 3 0 1056 0 478 473
b 3 0 1056 0 489 486
p 2 0 732 324 2139 1098
b 3 0 1056 0 866 823
b 3 0 1056 0 484 479
p 2 0 765 291 2070 1102
b 3 0 1056 0 637 625
b 3 0 1056 0 413 402
p 2 0 845 211 2427 1161
b 3 0 1056 0 535 530
b 3 0 1056 0 483 483
p 2 0 766 290 2043 1089
b 3 0 1056 0 736 723
b 3 0 1056 0 359 357
p 2 0 802 254 2296 1155
b 3 0 1056 0 617 609
b 3 0 1056 0 484 480
p 2 0 768 288 1908 1088
b 3 0 1056 0 664 650
b 3 0 1056 0 604 597
p 2 0 791 265 2246 1145
b 3 0 1056 0 784 765
b 3 0 1056 0 462 456
p 2 0 788 268 2910 1143
b 3 0 1056 0 411 407
b 3 0 1056 0 424 402
p 2 0 757 299 2380 1094
b 3 0 1056 0 573 562
b 3 0 1056 0 537 531
p 2 0 630 426 1894 1051
b 3 0 1056 0 780 728
b 3 0 1056 0 420 413
p 2 0 777 279 2405 1115
b 3 0 1056 0 507 503
b 3 0 1056 0 526 515
p 2 0 701 355 2310 1099
b 3 0 1056 0 469 461
b 3 0 1056 0 445 432
p 2 0 640 416 1833 1048
b 3 0 1056 0 818 779
b 3 0 1056 0 476 472
p 2 0 753 303 2472 1113
b 3 0 1056 0 506 485
b 3 0 1056 0 466 455
p 2 0 744 312 2444 1142
b 3 0 1056 0 603 591
b 3 0 1056 0 567 563
p 2 0 698 358 2190 1093
b 3 0 1056 0 622 607
b 3 0 1056 0 375 375
p 2 0 745 311 2240 1119
b 3 0 1056 0 504 491
b 3 0 1056 0 546 538
p 2 0 715 341 2662 1112
b 3 0 1056 0 753 645
b 3 0 1056 0 574 550
p 2 0 801 255 3416 1183
b 3 0 1056 0 880 718
b 3 0 1056 0 872 577
p 2 0 776 280 2607 1119
b 3 0 1056 0 511 475
b 3 0 1056 0 430 423
p 2 0 725 331 3070 1130
b 3 0 1056 0 718 693
b 3 0 1056 0 598 594
p 2 0 771 285 2467 1122
b 3 0 1056 0 820 773
b 3 0 1056 0 438 432
p 2 0 797 259 2791 1166
b 3 0 1056 0 521 515
b 3 0 1056 0 512 504
p 2 0 669 387 2173 1072
b 3 0 1056 0 539 522
b 3 0 1056 0 487 476
p 2 0 756 300 2481 1111
b 3 0 1056 0 791 758
b 3 0 1056 0 551 510
p 2 0 746 310 2404 1104
i 2 1056 0 0 25631 4056
b 3 0 1056 0 449 449
b 3 0 1056 0 525 514
p 2 0 919 137 2738 1195
b 3 0 1056 0 522 485
b 3 0 1056 0 517 507
p 2 0 861 195 2198 1152
b 3 0 1056 0 342 339
b 3 0 1056 0 468 403
p 2 0 845 211 2267 1126
b 3 0 1056 0 654 590
