PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,Engagement
0,0,0,23,1,4,0,4,4,0,3,8,12,0,7,12,0,10,16,14,0,10,13,0,12,15,1
0,0,0,23,1,6,0,17,6,0,16,18,6,1,12,2,1,13,15,3,0,5,2,0,6,9,2
0,0,0,23,1,22,0,30,19,0,35,26,12,0,16,12,0,15,14,27,1,15,26,1,15,27,2
0,0,0,23,1,9,0,5,9,0,6,10,3,0,5,3,0,7,8,3,0,6,3,0,6,10,3
0,0,0,23,1,16,0,13,16,0,12,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,48,1,9,1,7,9,1,7,30,4,0,10,2,0,10,16,4,0,15,4,0,15,20,1
1,0,1,48,1,3,0,3,3,0,3,8,6,0,9,5,0,8,12,5,0,5,4,0,6,11,1
1,0,1,48,1,1,0,1,1,0,1,8,6,0,5,4,0,5,28,3,0,5,3,0,5,11,2
1,0,1,48,1,15,0,7,14,0,10,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1,0,1,48,1,9,0,3,9,0,3,11,13,0,7,12,0,7,17,15,0,3,15,0,3,17,3
1,0,1,48,1,7,0,1,6,0,1,11,4,0,2,4,0,2,11,5,0,0,5,0,0,10,2
0,0,1,27,1,26,6,19,26,4,18,35,16,5,11,15,5,10,28,15,4,10,14,4,10,27,1
0,0,1,27,1,11,4,15,10,3,15,27,11,2,11,11,2,10,23,9,1,9,8,1,8,19,1
0,0,1,27,1,1,0,0,2,0,0,2,7,3,7,7,3,7,20,1,1,5,2,1,5,16,2
0,0,1,27,1,10,5,24,9,5,23,37,10,1,16,8,1,16,29,9,2,19,8,2,18,21,2
0,0,1,27,1,10,6,13,9,6,13,29,9,1,15,8,1,15,25,5,1,3,5,1,3,17,3
0,0,1,27,1,6,4,8,5,4,8,25,11,4,20,11,4,20,27,16,9,18,14,9,17,33,2
0,0,1,27,1,27,12,32,27,12,32,62,20,7,30,17,6,30,45,4,1,4,5,1,4,11,4
