PlayedBefore,TimePlaying,PlayGames,Age,Sex,JumpRun1,LeftRun1,RightRun1,JumpEndRun1,LeftEndRun1,RightEndRun1,TimeRun1,JumpRun2,LeftRun2,RightRun2,JumpEndRun2,LeftEndRun2,RightEndRun2,TimeRun2,JumpRun3,LeftRun3,RightRun3,JumpEndRun3,LeftEndRun3,RightEndRun3,TimeRun3,EngFruChal
0,0,1,33,0,15,5,10,12,5,11,25485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
0,0,1,33,0,3,1,2,4,1,2,7516,6,2,5,6,2,5,11047,6,3,8,6,3,9,13750,303
0,0,1,33,0,6,2,6,6,2,6,16719,10,4,8,9,4,9,16719,13,2,9,10,2,9,19625,203
0,0,1,29,0,0,0,0,0,0,0,2547,3,0,0,3,0,0,7515,8,1,6,8,1,5,12703,122
0,0,1,29,0,22,6,11,21,6,11,30547,21,5,18,21,5,22,30390,0,0,0,0,0,0,0,121
0,0,1,29,0,4,1,1,4,1,1,4375,16,3,8,15,4,8,22203,0,0,0,0,0,0,0,212
0,0,1,29,0,2,0,3,2,0,2,3844,11,1,10,11,1,10,19047,0,0,0,0,0,0,0,221
0,0,1,29,0,7,0,6,7,0,5,8703,6,1,1,5,1,1,8781,11,2,7,9,2,6,17641,303
0,0,1,29,0,17,7,23,16,7,21,24157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
1,0,1,42,1,7,0,23,6,0,24,17359,8,2,11,8,2,13,18485,6,3,5,6,3,5,20671,122
1,0,1,42,1,2,3,4,2,3,4,13875,2,1,3,2,1,3,12625,5,4,6,4,4,5,19469,121
1,0,1,42,1,3,0,2,3,0,2,11828,4,2,4,4,2,4,16375,4,0,2,3,0,2,10719,212
1,0,1,42,1,3,2,6,2,2,6,15547,1,0,0,1,0,0,8047,1,0,0,1,0,0,8015,221
1,0,1,42,1,10,2,4,10,2,4,11297,10,1,6,9,1,6,23531,0,0,0,0,0,0,0,303
1,0,1,42,1,1,0,1,0,0,1,7484,7,2,3,7,2,3,15969,6,1,4,7,1,3,16906,203
